model,dataset,epsilon,rep,timing_D
efficientnet,cifar10,0.3,1,6.139521728081515
efficientnet,cifar10,0.3,2,6.97339962353571
efficientnet,cifar10,0.3,3,6.5492328781931635
efficientnet,cifar10,0.3,4,8.008138512761896
efficientnet,cifar10,0.5,0,5.121639676218543
efficientnet,cifar10,0.5,1,6.0490812462506245
efficientnet,cifar10,0.5,2,4.968979804106892
efficientnet,cifar10,0.5,3,3.700916849607665
efficientnet,cifar10,0.5,4,4.630878533793242
efficientnet,tinyimagenet,0.03,0,5.80794851166893
efficientnet,tinyimagenet,0.03,1,5.323491765516512
efficientnet,tinyimagenet,0.03,2,5.660391765579481
efficientnet,tinyimagenet,0.03,3,3.4958197440387786
efficientnet,tinyimagenet,0.03,4,4.9912927041682655
efficientnet,tinyimagenet,0.1,0,6.28068091638132
efficientnet,tinyimagenet,0.1,1,5.724824386391373
efficientnet,tinyimagenet,0.1,2,2.5802911589513147
efficientnet,tinyimagenet,0.1,3,4.936137023543908
efficientnet,tinyimagenet,0.1,4,5.028179715228845
efficientnet,tinyimagenet,0.3,0,4.072450401223381
efficientnet,tinyimagenet,0.3,1,6.606206800677496
efficientnet,tinyimagenet,0.3,2,4.545362214603221
efficientnet,tinyimagenet,0.3,3,6.61032254772498
efficientnet,tinyimagenet,0.3,4,4.9787680040354845
efficientnet,tinyimagenet,0.5,0,5.985425907917753
efficientnet,tinyimagenet,0.5,1,5.984423048146895
efficientnet,tinyimagenet,0.5,2,6.563088464272905
efficientnet,tinyimagenet,0.5,3,5.208620504236961
efficientnet,tinyimagenet,0.5,4,7.227736556935351
efficientnet,imagenetmini,0.03,0,4.753527586865607
efficientnet,imagenetmini,0.03,1,4.895330630120941
efficientnet,imagenetmini,0.03,2,3.9644192649240515
efficientnet,imagenetmini,0.03,3,6.086951285843731
efficientnet,imagenetmini,0.03,4,4.319634400500505
efficientnet,imagenetmini,0.1,0,4.027818452681276
efficientnet,imagenetmini,0.1,1,4.071706818163583
efficientnet,imagenetmini,0.1,2,4.742315711711936
efficientnet,imagenetmini,0.1,3,4.284155353281626
efficientnet,imagenetmini,0.1,4,3.5693644031111678
